Id,ReportName,KeyTag
12,Declaration letter,#CompanyAddress #CompanyName #DesignationName #EmployeeName #EmployeeId #CurrentDate #JoiningDate
15,Job Permanent Letter,#CurrentDate #CompanyName  #CompanyAddress #Age #OfficeName  #DesignationName #DepartmentName #Grade #EmployeeName #EmployeeId #FatherName #MotherName  #FloorName  #SectionName #PresentAddress #PermanentAddress #PhoneNumber #Religion #Nationality #NationalId #Gross #Experience  #EducationQualification  #Religion #JobConfirmationDate #Gross #Basic #HR #CV #FA #MA
18,Nominee Legacy,#CompanyName #CompanyAddress #JoiningDate #OfficeName #DesignationName  #DepartmentName #EmployeeName  #EmployeeId  #NomineeAddress  #NomineeName  #Relation  #CurrentDate
20,Certificate Of Employment,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup
21,Experience Letter,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup &nbsp &nbsp #DateOfDiscontinuation &nbsp &nbsp #ServiceAge
22,No Objection Letter,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup &nbsp &nbsp #DateOfDiscontinuation &nbsp &nbsp #ServiceAge &nbsp &nbsp #PassportNo &nbsp &nbsp #IssueDate &nbsp &nbsp #ExpiryDate &nbsp &nbsp #Nationality &nbsp &nbsp #DateFrom  &nbsp &nbsp   #DateTo &nbsp &nbsp    #CountryName
23,Clearance Letter,#JoiningDate &nbsp &nbsp  #OfficeName &nbsp &nbsp #CompanyAddress &nbsp &nbsp #CompanyName &nbsp &nbsp #DesignationName &nbsp &nbsp #DepartmentName &nbsp &nbsp #GradeName &nbsp &nbsp #TypeofWork &nbsp &nbsp #EmployeeName &nbsp &nbsp #EmployeeId &nbsp &nbsp #FatherName &nbsp &nbsp #MotherName &nbsp &nbsp #PresentAddress &nbsp &nbsp #PermanentAddress &nbsp &nbsp #FloorName &nbsp &nbsp #SectionName &nbsp &nbsp #HR &nbsp &nbsp #FA &nbsp &nbsp  #MA &nbsp &nbsp #CV &nbsp &nbsp #Gross &nbsp &nbsp #Basic &nbsp &nbsp #CurrentDate &nbsp &nbsp #RefNo &nbsp &nbsp #ContractStartDate &nbsp &nbsp #ContractEndDate &nbsp &nbsp #ConfirmationDate &nbsp &nbsp #SpouseName &nbsp &nbsp #EmployeeType &nbsp &nbsp #ProbationPeriod &nbsp &nbsp #WorkGroup &nbsp &nbsp #DateOfDiscontinuation &nbsp &nbsp #TotalServiceAge
25,Clearance Letter(MIR),
26,Experience Letter Active(MIR),
27,Experience Letter Inactive(MIR),
28,Visa Letter(MIR),
